CATEGORY,COMMAND,TITLE,DESCRIPTION
PID_FILTER,gyro_notch1_hz,Gyro Notch Filter 1,Gyro Notch Filter 1 Frequency [Hz] (0 means disabled)
PID_FILTER,gyro_notch1_cutoff,Gyro Notch Filter 1 Cutoff,Gyro Notch Filter Cutoff 1 Frequency [Hz] (This is where notch filter starts. For example with notch filter 160 and notch Hz of 260 it means the range is 160-360Hz with most attenuation around center)
PID_FILTER,gyro_notch2_hz,Gyro Notch Filter 2,Gyro Notch Filter 2 Frequency [Hz] (0 means disabled)
PID_FILTER,gyro_notch2_cutoff,Gyro Notch Filter 2 Cutoff,
PID_FILTER,gyro_filter_q,Gyro Kalman Filter Q,
PID_FILTER,gyro_filter_r,Gyro Kalman Filter R,
PID_FILTER,gyro_filter_p,Gyro Kalman Filter P,
PID_FILTER,gyro_stage2_filter_type,Gyro Stage 2 Filter,
PID_FILTER,gyro_stage2_lowpass_hz,Gyro Stage 2 Lowpass Frequency,Gyro Stage 2 Lowpass Frequency [Hz]
PID_FILTER,dterm_lowpass_type,D-Term Lowpass Filter,D-Term lowpass filter type to use.
PID_FILTER,dterm_lowpass,D Term Lowpass Frequency,D Term Lowpass Frequency [Hz] (0 means disabled)
PID_FILTER,dterm_notch_hz,D Term Notch Filter Frequency,D Term Notch Filter Frequency [Hz] (0 means disabled)
PID_FILTER,dterm_notch_cutoff,D Term Notch Filter Cutoff,D Term Notch Filter Cutoff in Hz (This is where notch filter starts. For example with notch filter 160 and notch hz of 260 it means the range is 160-360hz with most attenuation around center)
PID_FILTER,yaw_lowpass,Yaw Lowpass Frequency,Yaw Lowpass Frequency [Hz] (Yaw axis can sometimes be noiser than the rest. This filter only affects the P of yaw)
FAILSAFE,failsafe_delay,Failsafe Delay,Guard time for stage 2 activation after signal lost [1 = 0.1 sec.]
FAILSAFE,failsafe_off_delay,Failsafe Off Delay,Delay for turning off the Motors during Failsafe [1 = 0.1 sec.]
FAILSAFE,failsafe_throttle,Failsafe Throttle,Throttle value used while landing.
FAILSAFE,failsafe_kill_switch,Failsafe Kill Switch,Failsafe Kill Switch (setup Failsafe in Modes tab of Configurator).
FAILSAFE,failsafe_throttle_low_delay,Failsafe Low Delay,Failsafe Throttle Low Delay [1 = 0.1 sec.]
FAILSAFE,failsafe_procedure,Failsafe Procedure (Stage 2),
BLACKBOX,blackbox_p_denom,Blackbox P Denominator,
BLACKBOX,blackbox_device,Blackbox Device,
BLACKBOX,blackbox_on_motor_test,Blackbox Motor Test,
BLACKBOX,blackbox_record_acc,Blackbox Record Accelerometer,
BLACKBOX,blackbox_mode,Blackbox Mode,
BLACKBOX,blackbox_p_ratio,Blackbox P Ratio,
